Bairro;Valor (m2);Valorização em 12 meses
Batel;9.611;12,60%
Campina do Siqueira;8.401;6,70%
Juvevê;8.379;11,60%
Ahu;8.320;7,10%
Mercês;8.308;7,00%
Alto da Gloria;8.203;7,30%
Cabral;7.993;13,80%
Bigorrilho;7.902;11,60%
Mossunguê;7.554;2,70%
Seminário;7.527;1,60%
Hugo Lange;7.354;1,90%
Centro;7.326;12,70%
São Francisco;7.182;9,20%
Vila Izabel;7.123;5,00%
Água Verde;7.110;4,50%
Santo Inácio;7.043;0,80%
Centro Cívico;7.024;7,90%
Cristo Rei;6.930;5,40%
Jardim das Américas;6.865;4,50%
Campo Comprido;6.712;3,50%
Rebouas;6.597;2,20%
São Lourenço;6.515;6,60%
Prado Velho;6.356;6,30%
Alto da Rua Xv;6.322;0,60%
Orleans;6.220;2,50%
Pilarzinho;6.117;17,50%
Santa Quitéria;6.103;8,70%
Cascatinha;6.062;1,50%
Boa Vista;5.956;1,70%
Bacacheri;5.917;5,80%
Portão;5.867;0,10%
Jardim Botânico;5.796;-4,00%
Vista Alegre;5.752;10,40%
Tarumã;5.443;15,00%
Guabirotuba;5.353;5,00%
Bom Retiro;5.350;-5,00%
Novo Mundo;5.324;0,10%
CIC;5.324;2,30%
Guaíra;5.170;9,10%
Santa Felicidade;5.158;-3,70%
São Braz;4.916;8,00%
Lindóia;4.744;9,20%
Fanny;4.700;-1,60%
Tingui;4.688;6,30%
Capão da Imbuia;4.672;19,50%
Cajuru;4.564;4,40%
Boqueirão;4.352;4,50%
Butiatuvinha;4.296;-7,90%
São João;4.287;-11,00%
Atuba;4.287;4,10%
Hauer;4.247;2,50%
Pinheirinho;4.133;0,90%
Xaxim;4.002;4,10%
Bairro Alto;3.946;4,90%
Uberaba;3.874;-2,00%
Alto Boqueirão;3.567;0,00%
Fazendinha;3.495;-2,30%
Barreirinha;3.491;0,90%
Santa Cândida;3.481;-2,70%
Sitio Cercado;3.191;-1,60%
Tatuquara;3.093;8,50%
Umbará;3.085;4,60%
Ganchinho;3.005;-2,20%
Campo de Santana;2.939;4,20%
Augusta;2.886;-0,70%
Cachoeira;2.820;1,10%
