LONGITUDE,LATITUDE,OBJECTID,CODIGO,TIPO,NOME,FONTE,CD_REGIONA,NM_REGIONA,SHAPE_AREA,SHAPE_LEN
-49.2790042395622,-25.4567876976144,20,9,DIVISA DE BAIRROS,ÁGUA VERDE,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,4773046.30018,9760.918367
-49.2336926061732,-25.4188959153334,22,18,DIVISA DE BAIRROS,JARDIM SOCIAL,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1958421.84184,6055.953058
-49.2696403102117,-25.5064545258348,23,57,DIVISA DE BAIRROS,XAXIM,Decreto Municipal 774 / 1975,2,REGIONAL BOQUEIRÃO,9085390.74707,13783.592828
-49.2309472545378,-25.4577767941116,5,22,DIVISA DE BAIRROS,JARDIM DAS AMÉRICAS,Decreto Municipal 774 / 1975,3,REGIONAL CAJURU,3859033.54446,8818.503767
-49.2732495252286,-25.4693863555646,9,26,DIVISA DE BAIRROS,GUAÍRA,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,2311397.49003,6351.958996
-49.2099686648054,-25.4124594338677,14,36,DIVISA DE BAIRROS,BAIRRO ALTO,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,7201072.61657,13889.87915
-49.2766374639693,-25.4235860033688,16,2,DIVISA DE BAIRROS,SÃO FRANCISCO,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1354451.5371,4643.176821
-49.2621525225847,-25.4198506619328,17,4,DIVISA DE BAIRROS,ALTO DA GLÓRIA,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,875482.91449,4057.148902
-49.2056712930426,-25.3850575876071,21,55,DIVISA DE BAIRROS,ATUBA,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,4159364.86965,11301.951647
-49.2499296001361,-25.4065814797856,25,16,DIVISA DE BAIRROS,CABRAL,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,2026591.31294,6406.086114
-49.2774207027787,-25.4791272949214,28,40,DIVISA DE BAIRROS,LINDÓIA,Decreto Municipal 774 / 1975,8,REGIONAL PINHEIRINHO,1181785.75679,5797.587332
-49.328222908051,-25.4563167959258,33,44,DIVISA DE BAIRROS,CAMPO COMPRIDO,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE / REGIONAL PORTÃO,8569837.61453,16637.624274
-49.2684742499951,-25.4156683739498,34,3,DIVISA DE BAIRROS,CENTRO CÍVICO,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,947197.36545,4864.09493
-49.2560325996317,-25.4156989617679,1,15,DIVISA DE BAIRROS,JUVEVÊ,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1232102.16374,5370.586438
-49.2458534493998,-25.4168539946033,2,17,DIVISA DE BAIRROS,HUGO LANGE,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1184234.4924,4676.688753
-49.218332731819,-25.436964700073,3,20,DIVISA DE BAIRROS,CAPÃO DA IMBUIA,Decreto Municipal 774 / 1975,3,REGIONAL CAJURU,3249281.55681,9051.241881
-49.3047526747708,-25.4483227232104,4,29,DIVISA DE BAIRROS,SEMINÁRIO,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,2123844.63454,7068.306785
-49.2427484241478,-25.4651043236503,6,23,DIVISA DE BAIRROS,GUABIROTUBA,Decreto Municipal 774 / 1975,3,REGIONAL CAJURU,2654431.07993,6576.156848
-49.2541189561501,-25.456365232996,7,24,DIVISA DE BAIRROS,PRADO VELHO,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,2434125.13587,7089.467939
-49.2656576207132,-25.4613231812642,8,25,DIVISA DE BAIRROS,PAROLIN,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,2258320.89453,6678.004723
-49.3024574751385,-25.4717893940344,10,27,DIVISA DE BAIRROS,PORTÃO,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,5858497.31547,10839.074471
-49.2958234292867,-25.456700993652,11,28,DIVISA DE BAIRROS,VILA IZABEL,Decreto Municipal 774 / 1975,7,REGIONAL PORTÃO,1216541.76907,4590.326319
-49.3098799175097,-25.4387333353535,12,30,DIVISA DE BAIRROS,CAMPINA DO SIQUEIRA,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,1697521.63385,5680.86071
-49.2476555111073,-25.3867772299713,13,34,DIVISA DE BAIRROS,BOA VISTA,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,5223707.8777,9624.651673
-49.2641956343249,-25.4021058784131,15,14,DIVISA DE BAIRROS,AHÚ,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1854919.50404,6360.38491
-49.2454423432767,-25.4350390219355,18,6,DIVISA DE BAIRROS,CRISTO REI,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1446992.11907,6090.044511
-49.2639712376687,-25.4460251933198,19,8,DIVISA DE BAIRROS,REBOUÇAS,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,2966142.8292,7556.379258
-49.3685842694805,-25.4246286334055,65,59,DIVISA DE BAIRROS,ORLEANS,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,5122386.05566,16197.181716
-49.2886566916963,-25.3897746071906,68,32,DIVISA DE BAIRROS,PILARZINHO,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,7104472.60926,13605.176606
-49.3257853028752,-25.4385698378236,35,45,DIVISA DE BAIRROS,MOSSUNGUÊ,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,3365440.48611,9125.524498
-49.2501493189918,-25.427621896506,36,5,DIVISA DE BAIRROS,ALTO DA RUA XV,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,1485485.17364,5035.196577
-49.2428819220902,-25.4430753796901,38,7,DIVISA DE BAIRROS,JARDIM BOTÂNICO,Decreto Municipal 774 / 1975 e Decreto Municipal 516 / 1992,1,REGIONAL MATRIZ,2756898.42082,7780.900778
-49.3559641565016,-25.3965642036064,72,61,DIVISA DE BAIRROS,BUTIATUVINHA,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,10438961.9496,20003.208622
-49.2585209526705,-25.3726637631108,40,52,DIVISA DE BAIRROS,BARREIRINHA,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,3620669.99771,10895.073887
-49.2227212232223,-25.3864631863406,41,54,DIVISA DE BAIRROS,TINGUI,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,2151281.33009,7410.437915
-49.2359597934787,-25.5057656206478,42,56,DIVISA DE BAIRROS,BOQUEIRÃO,Decreto Municipal 774 / 1975,2,REGIONAL BOQUEIRÃO,14743948.3119,18527.195898
-49.3802832578276,-25.4364186395111,44,69,DIVISA DE BAIRROS,RIVIERA,Decreto Municipal 774 / 1975,11,REGIONAL CIC,2436703.98927,7616.968436
-49.2707437513471,-25.5440999922305,51,65,DIVISA DE BAIRROS,SÍTIO CERCADO,Decreto Municipal 774 / 1975,10,REGIONAL BAIRRO NOVO,11199570.521,14105.871035
-49.2238488422396,-25.4268279882614,54,19,DIVISA DE BAIRROS,TARUMÃ,Decreto Municipal 774 / 1975,4,REGIONAL CAJURU,4169759.33374,9566.370196
-49.2664459410222,-25.3900043142321,56,33,DIVISA DE BAIRROS,SÃO LOURENÇO,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,2274685.6774,8109.708892
-49.2315616681298,-25.4024119414216,57,35,DIVISA DE BAIRROS,BACACHERI,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,7048656.48116,12621.050745
